NM_MUN,bairro,n_setores,pop,casos,taxa,cum_casos_pct,cum_pop_pct
Osasco,Industrial Remédios,6,2988,6.0,40.16064257028113,18.115594528556095,24.316178158088785
Santo André,Vila Aquilino,8,3959,6.0,30.310684516291992,18.129295974058596,24.335456553950948
Itaquaquecetuba,Morro Branco,20,11537,6.0,10.401317500216694,18.142997419561098,24.39163610764172
Osasco,Adalgisa,20,8857,6.0,13.548605622671335,18.156698865063596,24.43476537062509
Santo André,Jardim Santo Alberto,13,6152,6.0,19.50585175552666,18.170400310566098,24.464722605114613
Santo André,Jardim das Maravilhas,8,3704,6.0,32.39740820734341,18.1841017560686,24.48275927555499
Santo André,Jardim Bom Pastor,12,5563,6.0,21.571094733057702,18.1978032015711,24.509848367795758
Mauá,RP1 (Regiões de Planejamento),24,8933,5.0,11.194447554013209,18.209221072823183,24.553347713649938
Santo André,Vila Guarani,7,3261,5.0,30.665440049064706,18.220638944075265,24.569227190514425
Santo André,Jardim Ana Maria,10,4813,5.0,20.77706212341575,18.23205681532735,24.592664149161706
Santo André,Jardim Santo Antônio,18,8956,5.0,11.165698972755694,18.243474686579432,24.63627549377942
Santo André,Vila Gilda,11,5609,5.0,17.828489926903192,18.254892557831518,24.663588583547256
Santo André,Vila Progresso,7,4288,5.0,23.32089552238806,18.266310429083603,24.684469048679095
Ribeirão Pires,Santana,6,3526,5.0,28.36074872376631,18.277728300335685,24.70163894607995
Ribeirão Pires,Suíssa,15,8096,5.0,12.35177865612648,18.28914617158777,24.741062510843793
Santo André,Jardim Itapoan,9,3669,5.0,27.255382938130282,18.300564042839852,24.758928748383138
Santo André,Jardim Marek,10,4373,5.0,22.8675966155957,18.311981914091938,24.780223121988907
Osasco,Vila Yara,22,7622,5.0,13.119916032537391,18.323399785344023,24.817338538321668
São Caetano do Sul,Santo Antônio,27,11365,5.0,8.798944126704795,18.3348176565961,24.872680536041663
Santo André,Paraíso,5,3426,5.0,29.18855808523059,18.346235527848187,24.88936348229672
Santo André,Vila América,13,4776,5.0,20.938023450586265,18.357653399100272,24.912620269020056
Santo André,Vila Homero Thon,11,5309,4.0,15.068751177246185,18.366787696101937,24.938472505350497
